mon0900,G0145
mon1000,G0994
mon1200,G0223
mon1300,G0223
mon1400,G Prefab 5
mon1600,G0481 CR4
mon1700,G0481 CR4
tue0900,G0481 CR4
tue1000,G0481 CR4
tue1100,G0470 Computing Practical Lab
tue1200,G0470 Computing Practical Lab
tue1200,G0379
tue1400,G0436 CR5
tue1500,G0436 CR5
tue1600,G0436 CR5
tue1700,G0436 CR5
wed1000,G0938
wed1100,G0208
wed1300,G0997
wed1400,G0994
wed1500,G0939
wed1600,G0995
thur0900,G Prefab 18
thur1000,G Prefab 18
thur1400,G0436 CR5
thur1500,G0436 CR5
fri0900,G0482 CR3
fri1000,G0482 CR3
fri1100,G0208